Country,StateProv,Date,Count
Afghanistan,Afghanistan,2020-02-24,1
Afghanistan,Afghanistan,2020-02-25,1
Afghanistan,Afghanistan,2020-02-26,1
Afghanistan,Afghanistan,2020-02-27,1
Afghanistan,Afghanistan,2020-02-28,1
Afghanistan,Afghanistan,2020-02-29,1
Afghanistan,Afghanistan,2020-03-01,1
Afghanistan,Afghanistan,2020-03-02,1
Afghanistan,Afghanistan,2020-03-03,1
Afghanistan,Afghanistan,2020-03-04,1
Afghanistan,Afghanistan,2020-03-05,1
Afghanistan,Afghanistan,2020-03-06,1
Afghanistan,Afghanistan,2020-03-07,1
Afghanistan,Afghanistan,2020-03-08,4
Afghanistan,Afghanistan,2020-03-09,4
Afghanistan,Afghanistan,2020-03-10,5
Afghanistan,Afghanistan,2020-03-11,7
Afghanistan,Afghanistan,2020-03-12,7
Afghanistan,Afghanistan,2020-03-13,7
Afghanistan,Afghanistan,2020-03-14,11
Afghanistan,Afghanistan,2020-03-15,16
Afghanistan,Afghanistan,2020-03-16,21
Afghanistan,Afghanistan,2020-03-17,22
Afghanistan,Afghanistan,2020-03-18,22
Afghanistan,Afghanistan,2020-03-19,22
Afghanistan,Afghanistan,2020-03-20,24
Afghanistan,Afghanistan,2020-03-21,24
Afghanistan,Afghanistan,2020-03-22,40
Albania,Albania,2020-03-09,2
Albania,Albania,2020-03-10,10
Albania,Albania,2020-03-11,12
Albania,Albania,2020-03-12,23
Albania,Albania,2020-03-13,33
Albania,Albania,2020-03-14,38
Albania,Albania,2020-03-15,42
Albania,Albania,2020-03-16,51
Albania,Albania,2020-03-17,55
Albania,Albania,2020-03-18,59
Albania,Albania,2020-03-19,64
Albania,Albania,2020-03-20,70
Albania,Albania,2020-03-21,76
Albania,Albania,2020-03-22,89
Algeria,Algeria,2020-02-25,1
Algeria,Algeria,2020-02-26,1
Algeria,Algeria,2020-02-27,1
Algeria,Algeria,2020-02-28,1
Algeria,Algeria,2020-02-29,1
Algeria,Algeria,2020-03-01,1
Algeria,Algeria,2020-03-02,3
Algeria,Algeria,2020-03-03,5
Algeria,Algeria,2020-03-04,12
Algeria,Algeria,2020-03-05,12
Algeria,Algeria,2020-03-06,17
Algeria,Algeria,2020-03-07,17
Algeria,Algeria,2020-03-08,19
Algeria,Algeria,2020-03-09,20
Algeria,Algeria,2020-03-10,20
Algeria,Algeria,2020-03-11,20
Algeria,Algeria,2020-03-12,24
Algeria,Algeria,2020-03-13,26
Algeria,Algeria,2020-03-14,37
Algeria,Algeria,2020-03-15,48
Algeria,Algeria,2020-03-16,54
Algeria,Algeria,2020-03-17,60
Algeria,Algeria,2020-03-18,74
Algeria,Algeria,2020-03-19,87
Algeria,Algeria,2020-03-20,90
Algeria,Algeria,2020-03-21,139
Algeria,Algeria,2020-03-22,201
Andorra,Andorra,2020-03-02,1
Andorra,Andorra,2020-03-03,1
Andorra,Andorra,2020-03-04,1
Andorra,Andorra,2020-03-05,1
Andorra,Andorra,2020-03-06,1
Andorra,Andorra,2020-03-07,1
Andorra,Andorra,2020-03-08,1
Andorra,Andorra,2020-03-09,1
Andorra,Andorra,2020-03-10,1
Andorra,Andorra,2020-03-11,1
Andorra,Andorra,2020-03-12,1
Andorra,Andorra,2020-03-13,1
Andorra,Andorra,2020-03-14,1
Andorra,Andorra,2020-03-15,1
Andorra,Andorra,2020-03-16,2
Andorra,Andorra,2020-03-17,39
Andorra,Andorra,2020-03-18,39
Andorra,Andorra,2020-03-19,53
Andorra,Andorra,2020-03-20,75
Andorra,Andorra,2020-03-21,88
Andorra,Andorra,2020-03-22,113
Angola,Angola,2020-03-20,1
Angola,Angola,2020-03-21,2
Angola,Angola,2020-03-22,2
Antigua and Barbuda,Antigua and Barbuda,2020-03-13,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-14,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-15,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-16,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-17,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-18,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-19,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-20,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-21,1
Antigua and Barbuda,Antigua and Barbuda,2020-03-22,1
Argentina,Argentina,2020-03-03,1
Argentina,Argentina,2020-03-04,1
Argentina,Argentina,2020-03-05,1
Argentina,Argentina,2020-03-06,2
Argentina,Argentina,2020-03-07,8
Argentina,Argentina,2020-03-08,12
Argentina,Argentina,2020-03-09,12
Argentina,Argentina,2020-03-10,17
Argentina,Argentina,2020-03-11,19
Argentina,Argentina,2020-03-12,19
Argentina,Argentina,2020-03-13,31
Argentina,Argentina,2020-03-14,34
Argentina,Argentina,2020-03-15,45
Argentina,Argentina,2020-03-16,56
Argentina,Argentina,2020-03-17,68
Argentina,Argentina,2020-03-18,79
Argentina,Argentina,2020-03-19,97
Argentina,Argentina,2020-03-20,128
Argentina,Argentina,2020-03-21,158
Argentina,Argentina,2020-03-22,225
Armenia,Armenia,2020-03-01,1
Armenia,Armenia,2020-03-02,1
Armenia,Armenia,2020-03-03,1
Armenia,Armenia,2020-03-04,1
Armenia,Armenia,2020-03-05,1
Armenia,Armenia,2020-03-06,1
Armenia,Armenia,2020-03-07,1
Armenia,Armenia,2020-03-08,1
Armenia,Armenia,2020-03-09,1
Armenia,Armenia,2020-03-10,1
Armenia,Armenia,2020-03-11,1
Armenia,Armenia,2020-03-12,4
Armenia,Armenia,2020-03-13,8
Armenia,Armenia,2020-03-14,18
Armenia,Armenia,2020-03-15,26
Armenia,Armenia,2020-03-16,52
Armenia,Armenia,2020-03-17,78
Armenia,Armenia,2020-03-18,84
Armenia,Armenia,2020-03-19,115
Armenia,Armenia,2020-03-20,136
Armenia,Armenia,2020-03-21,160
Armenia,Armenia,2020-03-22,194
Australia,Australian Capital Territory,2020-03-13,1
Australia,Australian Capital Territory,2020-03-14,1
Australia,Australian Capital Territory,2020-03-15,1
Australia,Australian Capital Territory,2020-03-16,2
Australia,Australian Capital Territory,2020-03-17,2
Australia,Australian Capital Territory,2020-03-18,3
Australia,Australian Capital Territory,2020-03-19,4
Australia,Australian Capital Territory,2020-03-20,6
Australia,Australian Capital Territory,2020-03-21,9
Australia,Australian Capital Territory,2020-03-22,19
Australia,From Diamond Princess,2020-02-21,4
Australia,From Diamond Princess,2020-02-22,7
Australia,From Diamond Princess,2020-02-23,7
Australia,From Diamond Princess,2020-02-24,7
Australia,From Diamond Princess,2020-02-25,7
Australia,From Diamond Princess,2020-02-26,7
Australia,From Diamond Princess,2020-02-27,8
Australia,From Diamond Princess,2020-02-28,8
Australia,New South Wales,2020-01-26,3
Australia,New South Wales,2020-01-27,4
Australia,New South Wales,2020-01-28,4
Australia,New South Wales,2020-01-29,4
Australia,New South Wales,2020-01-30,4
Australia,New South Wales,2020-01-31,4
Australia,New South Wales,2020-02-01,4
Australia,New South Wales,2020-02-02,4
Australia,New South Wales,2020-02-03,4
Australia,New South Wales,2020-02-04,4
Australia,New South Wales,2020-02-05,4
Australia,New South Wales,2020-02-06,4
Australia,New South Wales,2020-02-07,4
Australia,New South Wales,2020-02-08,4
Australia,New South Wales,2020-02-09,4
Australia,New South Wales,2020-02-10,4
Australia,New South Wales,2020-02-11,4
Australia,New South Wales,2020-02-12,4
Australia,New South Wales,2020-02-13,4
Australia,New South Wales,2020-02-14,4
Australia,New South Wales,2020-02-15,4
Australia,New South Wales,2020-02-16,4
Australia,New South Wales,2020-02-17,4
Australia,New South Wales,2020-02-18,4
Australia,New South Wales,2020-02-19,4
Australia,New South Wales,2020-02-20,4
Australia,New South Wales,2020-02-21,4
Australia,New South Wales,2020-02-22,4
Australia,New South Wales,2020-02-23,4
Australia,New South Wales,2020-02-24,4
Australia,New South Wales,2020-02-25,4
Australia,New South Wales,2020-02-26,4
Australia,New South Wales,2020-02-27,4
Australia,New South Wales,2020-02-28,4
Australia,New South Wales,2020-02-29,4
Australia,New South Wales,2020-03-01,6
Australia,New South Wales,2020-03-02,6
Australia,New South Wales,2020-03-03,13
Australia,New South Wales,2020-03-04,22
Australia,New South Wales,2020-03-05,22
Australia,New South Wales,2020-03-06,26
Australia,New South Wales,2020-03-07,28
Australia,New South Wales,2020-03-08,38
Australia,New South Wales,2020-03-09,48
Australia,New South Wales,2020-03-10,55
Australia,New South Wales,2020-03-11,65
Australia,New South Wales,2020-03-12,65
Australia,New South Wales,2020-03-13,92
Australia,New South Wales,2020-03-14,112
Australia,New South Wales,2020-03-15,134
Australia,New South Wales,2020-03-16,171
Australia,New South Wales,2020-03-17,210
Australia,New South Wales,2020-03-18,267
Australia,New South Wales,2020-03-19,307
Australia,New South Wales,2020-03-20,353
Australia,New South Wales,2020-03-21,436
Australia,New South Wales,2020-03-22,533
Australia,Northern Territory,2020-03-04,1
Australia,Northern Territory,2020-03-05,1
Australia,Northern Territory,2020-03-10,1
Australia,Northern Territory,2020-03-11,1
Australia,Northern Territory,2020-03-12,1
Australia,Northern Territory,2020-03-13,1
Australia,Northern Territory,2020-03-14,1
Australia,Northern Territory,2020-03-15,1
Australia,Northern Territory,2020-03-16,1
Australia,Northern Territory,2020-03-17,1
Australia,Northern Territory,2020-03-18,1
Australia,Northern Territory,2020-03-19,1
Australia,Northern Territory,2020-03-20,3
Australia,Northern Territory,2020-03-21,3
Australia,Northern Territory,2020-03-22,3
Australia,Queensland,2020-01-29,1
Australia,Queensland,2020-01-30,3
Australia,Queensland,2020-01-31,2
Australia,Queensland,2020-02-01,3
Australia,Queensland,2020-02-02,2
Australia,Queensland,2020-02-03,2
Australia,Queensland,2020-02-04,3
Australia,Queensland,2020-02-05,3
Australia,Queensland,2020-02-06,4
Australia,Queensland,2020-02-07,5
Australia,Queensland,2020-02-08,5
Australia,Queensland,2020-02-09,5
Australia,Queensland,2020-02-10,5
Australia,Queensland,2020-02-11,5
Australia,Queensland,2020-02-12,5
Australia,Queensland,2020-02-13,5
Australia,Queensland,2020-02-14,5
Australia,Queensland,2020-02-15,5
Australia,Queensland,2020-02-16,5
Australia,Queensland,2020-02-17,5
Australia,Queensland,2020-02-18,5
Australia,Queensland,2020-02-19,5
Australia,Queensland,2020-02-20,5
Australia,Queensland,2020-02-21,5
Australia,Queensland,2020-02-22,5
Australia,Queensland,2020-02-23,5
Australia,Queensland,2020-02-24,5
Australia,Queensland,2020-02-25,5
Australia,Queensland,2020-02-26,5
Australia,Queensland,2020-02-27,5
Australia,Queensland,2020-02-28,5
Australia,Queensland,2020-02-29,9
Australia,Queensland,2020-03-01,9
Australia,Queensland,2020-03-02,9
Australia,Queensland,2020-03-03,11
Australia,Queensland,2020-03-04,11
Australia,Queensland,2020-03-05,13
Australia,Queensland,2020-03-06,13
Australia,Queensland,2020-03-07,13
Australia,Queensland,2020-03-08,15
Australia,Queensland,2020-03-09,15
Australia,Queensland,2020-03-10,18
Australia,Queensland,2020-03-11,20
Australia,Queensland,2020-03-12,20
Australia,Queensland,2020-03-13,35
Australia,Queensland,2020-03-14,46
Australia,Queensland,2020-03-15,61
Australia,Queensland,2020-03-16,68
Australia,Queensland,2020-03-17,78
Australia,Queensland,2020-03-18,94
Australia,Queensland,2020-03-19,144
Australia,Queensland,2020-03-20,184
Australia,Queensland,2020-03-21,221
Australia,Queensland,2020-03-22,221
Australia,South Australia,2020-02-01,1
Australia,South Australia,2020-02-02,2
Australia,South Australia,2020-02-03,2
Australia,South Australia,2020-02-04,2
Australia,South Australia,2020-02-05,2
Australia,South Australia,2020-02-06,2
Australia,South Australia,2020-02-07,2
Australia,South Australia,2020-02-08,2
Australia,South Australia,2020-02-09,2
Australia,South Australia,2020-02-10,2
Australia,South Australia,2020-02-11,2
Australia,South Australia,2020-02-12,2
Australia,South Australia,2020-02-13,2
Australia,South Australia,2020-02-14,2
Australia,South Australia,2020-02-15,2
Australia,South Australia,2020-02-16,2
Australia,South Australia,2020-02-17,2
Australia,South Australia,2020-02-18,2
Australia,South Australia,2020-02-19,2
Australia,South Australia,2020-02-20,2
Australia,South Australia,2020-02-21,2
Australia,South Australia,2020-02-22,2
Australia,South Australia,2020-02-23,2
Australia,South Australia,2020-02-24,2
Australia,South Australia,2020-02-25,2
Australia,South Australia,2020-02-26,2
Australia,South Australia,2020-02-27,2
Australia,South Australia,2020-02-28,2
Australia,South Australia,2020-02-29,3
Australia,South Australia,2020-03-01,3
Australia,South Australia,2020-03-02,3
Australia,South Australia,2020-03-03,3
Australia,South Australia,2020-03-04,5
Australia,South Australia,2020-03-05,5
Australia,South Australia,2020-03-06,7
Australia,South Australia,2020-03-07,7
Australia,South Australia,2020-03-08,7
Australia,South Australia,2020-03-09,7
Australia,South Australia,2020-03-10,7
Australia,South Australia,2020-03-11,9
Australia,South Australia,2020-03-12,9
Australia,South Australia,2020-03-13,16
Australia,South Australia,2020-03-14,19
Australia,South Australia,2020-03-15,20
Australia,South Australia,2020-03-16,29
Australia,South Australia,2020-03-17,29
Australia,South Australia,2020-03-18,37
Australia,South Australia,2020-03-19,42
Australia,South Australia,2020-03-20,50
Australia,South Australia,2020-03-21,67
Australia,South Australia,2020-03-22,100
Australia,Tasmania,2020-03-02,1
Australia,Tasmania,2020-03-03,1
Australia,Tasmania,2020-03-04,1
Australia,Tasmania,2020-03-05,1
Australia,Tasmania,2020-03-06,1
Australia,Tasmania,2020-03-07,1
Australia,Tasmania,2020-03-08,2
Australia,Tasmania,2020-03-09,2
Australia,Tasmania,2020-03-10,2
Australia,Tasmania,2020-03-11,3
Australia,Tasmania,2020-03-12,3
Australia,Tasmania,2020-03-13,5
Australia,Tasmania,2020-03-14,5
Australia,Tasmania,2020-03-15,6
Australia,Tasmania,2020-03-16,7
Australia,Tasmania,2020-03-17,7
Australia,Tasmania,2020-03-18,10
Australia,Tasmania,2020-03-19,10
Australia,Tasmania,2020-03-20,10
Australia,Tasmania,2020-03-21,16
Australia,Tasmania,2020-03-22,22
Australia,Victoria,2020-01-26,1
Australia,Victoria,2020-01-27,1
Australia,Victoria,2020-01-28,1
Australia,Victoria,2020-01-29,1
Australia,Victoria,2020-01-30,2
Australia,Victoria,2020-01-31,3
Australia,Victoria,2020-02-01,4
Australia,Victoria,2020-02-02,4
Australia,Victoria,2020-02-03,4
Australia,Victoria,2020-02-04,4
Australia,Victoria,2020-02-05,4
Australia,Victoria,2020-02-06,4
Australia,Victoria,2020-02-07,4
Australia,Victoria,2020-02-08,4
Australia,Victoria,2020-02-09,4
Australia,Victoria,2020-02-10,4
Australia,Victoria,2020-02-11,4
Australia,Victoria,2020-02-12,4
Australia,Victoria,2020-02-13,4
Australia,Victoria,2020-02-14,4
Australia,Victoria,2020-02-15,4
Australia,Victoria,2020-02-16,4
Australia,Victoria,2020-02-17,4
Australia,Victoria,2020-02-18,4
Australia,Victoria,2020-02-19,4
Australia,Victoria,2020-02-20,4
Australia,Victoria,2020-02-21,4
Australia,Victoria,2020-02-22,4
Australia,Victoria,2020-02-23,4
Australia,Victoria,2020-02-24,4
Australia,Victoria,2020-02-25,4
Australia,Victoria,2020-02-26,4
Australia,Victoria,2020-02-27,4
Australia,Victoria,2020-02-28,4
Australia,Victoria,2020-02-29,7
Australia,Victoria,2020-03-01,7
Australia,Victoria,2020-03-02,9
Australia,Victoria,2020-03-03,9
Australia,Victoria,2020-03-04,10
Australia,Victoria,2020-03-05,10
Australia,Victoria,2020-03-06,10
Australia,Victoria,2020-03-07,11
Australia,Victoria,2020-03-08,11
Australia,Victoria,2020-03-09,15
Australia,Victoria,2020-03-10,18
Australia,Victoria,2020-03-11,21
Australia,Victoria,2020-03-12,21
Australia,Victoria,2020-03-13,36
Australia,Victoria,2020-03-14,49
Australia,Victoria,2020-03-15,57
Australia,Victoria,2020-03-16,71
Australia,Victoria,2020-03-17,94
Australia,Victoria,2020-03-18,121
Australia,Victoria,2020-03-19,121
Australia,Victoria,2020-03-20,121
Australia,Victoria,2020-03-21,229
Australia,Victoria,2020-03-22,296
Australia,Western Australia,2020-02-29,2
Australia,Western Australia,2020-03-01,2
Australia,Western Australia,2020-03-02,2
Australia,Western Australia,2020-03-03,2
Australia,Western Australia,2020-03-04,2
Australia,Western Australia,2020-03-05,3
Australia,Western Australia,2020-03-06,3
Australia,Western Australia,2020-03-07,3
Australia,Western Australia,2020-03-08,3
Australia,Western Australia,2020-03-09,4
Australia,Western Australia,2020-03-10,6
Australia,Western Australia,2020-03-11,9
Australia,Western Australia,2020-03-12,9
Australia,Western Australia,2020-03-13,14
Australia,Western Australia,2020-03-14,17
Australia,Western Australia,2020-03-15,17
Australia,Western Australia,2020-03-16,28
Australia,Western Australia,2020-03-17,31
Australia,Western Australia,2020-03-18,35
Australia,Western Australia,2020-03-19,52
Australia,Western Australia,2020-03-20,64
Australia,Western Australia,2020-03-21,90
Australia,Western Australia,2020-03-22,120
Austria,Austria,2020-02-25,2
Austria,Austria,2020-02-26,2
Austria,Austria,2020-02-27,3
Austria,Austria,2020-02-28,3
Austria,Austria,2020-02-29,9
Austria,Austria,2020-03-01,14
Austria,Austria,2020-03-02,18
Austria,Austria,2020-03-03,21
Austria,Austria,2020-03-04,29
Austria,Austria,2020-03-05,41
Austria,Austria,2020-03-06,55
Austria,Austria,2020-03-07,79
Austria,Austria,2020-03-08,104
Austria,Austria,2020-03-09,131
Austria,Austria,2020-03-10,182
Austria,Austria,2020-03-11,246
Austria,Austria,2020-03-12,302
Austria,Austria,2020-03-13,504
Austria,Austria,2020-03-14,655
Austria,Austria,2020-03-15,860
Austria,Austria,2020-03-16,1018
Austria,Austria,2020-03-17,1332
Austria,Austria,2020-03-18,1646
Austria,Austria,2020-03-19,2013
Austria,Austria,2020-03-20,2388
Austria,Austria,2020-03-21,2814
Austria,Austria,2020-03-22,3244
Azerbaijan,Azerbaijan,2020-03-01,3
Azerbaijan,Azerbaijan,2020-03-02,3
Azerbaijan,Azerbaijan,2020-03-03,3
Azerbaijan,Azerbaijan,2020-03-04,3
Azerbaijan,Azerbaijan,2020-03-05,6
Azerbaijan,Azerbaijan,2020-03-06,6
Azerbaijan,Azerbaijan,2020-03-07,9
Azerbaijan,Azerbaijan,2020-03-08,9
Azerbaijan,Azerbaijan,2020-03-09,9
Azerbaijan,Azerbaijan,2020-03-10,11
Azerbaijan,Azerbaijan,2020-03-11,11
