FIPS,Admin2,Country_Region,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,fileName
,Afghanistan,Afghanistan,Afghanistan,2020-02-24,33.0,65.0,1,0,0,0,Afghanistan,02-24-2020
,Afghanistan,Afghanistan,Afghanistan,2020-02-25,33.0,65.0,1,0,0,0,Afghanistan,02-25-2020
,Afghanistan,Afghanistan,Afghanistan,2020-02-26,33.0,65.0,1,0,0,0,Afghanistan,02-26-2020
,Afghanistan,Afghanistan,Afghanistan,2020-02-27,33.0,65.0,1,0,0,0,Afghanistan,02-27-2020
,Afghanistan,Afghanistan,Afghanistan,2020-02-28,33.0,65.0,1,0,0,0,Afghanistan,02-28-2020
,Afghanistan,Afghanistan,Afghanistan,2020-02-29,33.0,65.0,1,0,0,0,Afghanistan,02-29-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-01,33.0,65.0,1,0,0,0,Afghanistan,03-01-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-02,33.0,65.0,1,0,0,0,Afghanistan,03-02-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-03,33.0,65.0,1,0,0,0,Afghanistan,03-03-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-04,33.0,65.0,1,0,0,0,Afghanistan,03-04-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-05,33.0,65.0,1,0,0,0,Afghanistan,03-05-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-06,33.0,65.0,1,0,0,0,Afghanistan,03-06-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-07,33.0,65.0,1,0,0,0,Afghanistan,03-07-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-08,33.0,65.0,4,0,0,0,Afghanistan,03-08-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-09,33.0,65.0,4,0,0,0,Afghanistan,03-09-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-10,33.0,65.0,5,0,0,0,Afghanistan,03-10-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-11,33.0,65.0,7,0,0,0,Afghanistan,03-11-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-12,33.0,65.0,7,0,0,0,Afghanistan,03-12-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-13,33.0,65.0,7,0,0,0,Afghanistan,03-13-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-14,33.0,65.0,11,0,0,0,Afghanistan,03-14-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-15,33.0,65.0,16,0,0,0,Afghanistan,03-15-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-16,33.0,65.0,21,0,0,0,Afghanistan,03-16-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-17,33.0,65.0,22,0,0,0,Afghanistan,03-17-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-18,33.0,65.0,22,0,0,0,Afghanistan,03-18-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-19,33.0,65.0,22,0,0,0,Afghanistan,03-19-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-20,33.0,65.0,24,0,0,0,Afghanistan,03-20-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-21,33.0,65.0,24,0,0,0,Afghanistan,03-21-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-22,33.0,65.0,40,0,0,0,Afghanistan,03-22-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-23,33.93911,67.709953,40,1,1,38,Afghanistan,03-23-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-24,33.93911,67.709953,74,1,1,72,Afghanistan,03-24-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-25,33.93911,67.709953,84,2,2,80,Afghanistan,03-25-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-26,33.93911,67.709953,94,4,2,88,Afghanistan,03-26-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-27,33.93911,67.709953,110,4,2,104,Afghanistan,03-27-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-28,33.93911,67.709953,110,4,2,104,Afghanistan,03-28-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-29,33.93911,67.709953,120,4,2,114,Afghanistan,03-29-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-30,33.93911,67.709953,170,4,2,164,Afghanistan,03-30-2020
,Afghanistan,Afghanistan,Afghanistan,2020-03-31,33.93911,67.709953,174,4,5,165,Afghanistan,03-31-2020
,Albania,Albania,Albania,2020-03-09,41.1533,20.1683,2,0,0,0,Albania,03-09-2020
,Albania,Albania,Albania,2020-03-10,41.1533,20.1683,10,0,0,0,Albania,03-10-2020
,Albania,Albania,Albania,2020-03-11,41.1533,20.1683,12,0,0,0,Albania,03-11-2020
